country,dates,genres,score,title,url,votes,critic_count,description,popularity
United States,2017..,"[""Crime"", ""Drama"", ""Horror""]",8.5,Twin Peaks,https://www.imdb.com/title/tt4093826/,69125,136,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,638
United Kingdom (Great Britain),2012..2021,"[""Crime"", ""Drama"", ""Mystery""]",8.7,Line of Duty,https://www.imdb.com/title/tt2303687/,61149,38,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",316
United States,2012..,"[""Action"", ""Drama""]",8.0,Chicago Fire,https://www.imdb.com/title/tt2261391/,58716,24,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",130
Canada,2016..2018,"[""Drama"", ""Mystery"", ""Sci"", ""Fi""]",8.0,Travelers,https://www.imdb.com/title/tt5651844/,58073,25,"Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity.",770
United States,2012..2019,"[""Comedy""]",8.4,Veep,https://www.imdb.com/title/tt1759761/,57354,81,Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.,444
Canada,2017..2019,"[""Drama"", ""Family""]",8.7,Anne with an E,https://www.imdb.com/title/tt5421602/,57203,37,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",690
United Kingdom (Great Britain),2022..,"[""Drama"", ""Romance""]",8.7,Heartstopper,https://www.imdb.com/title/tt10638036/,55598,35,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,703
United States,2015..2022,"[""Comedy""]",8.2,Grace and Frankie,https://www.imdb.com/title/tt3609352/,53223,45,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.",554
United States,2016..2021,"[""Drama""]",8.1,Goliath,https://www.imdb.com/title/tt4687880/,49979,31,"A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.",599
United States,1975..,"[""Comedy"", ""Music""]",8.0,Saturday Night Live,https://www.imdb.com/title/tt0072562/,49751,13,A famous guest host stars in parodies and sketches created by the cast of this witty show.,295
"Korea, Republic of (South)",2019..,"[""Action"", ""Drama"", ""Horror""]",8.3,Kingdom,https://www.imdb.com/title/tt6611916/,47969,45,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",796
United States,2014..2020,"[""Crime"", ""Drama""]",8.1,Power,https://www.imdb.com/title/tt3281796/,47737,15,"James ""Ghost"" St. Patrick, a wealthy New York nightclub owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin.",559
United States,2019..,"[""Drama"", ""Sci"", ""Fi""]",8.0,For All Mankind,https://www.imdb.com/title/tt7772588/,45755,40,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",208
United Kingdom (Great Britain),2014..2023,"[""Crime"", ""Drama"", ""Thriller""]",8.5,Happy Valley,https://www.imdb.com/title/tt3428912/,45499,18,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,20
United Kingdom (Great Britain),2018..2022,"[""Comedy""]",8.5,Derry Girls,https://www.imdb.com/title/tt7120662/,45471,24,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,253
Canada,2001..2018,"[""Comedy"", ""Crime""]",8.6,Trailer Park Boys,https://www.imdb.com/title/tt0290988/,45317,1,Three petty felons have a documentary made about their life in a trailer park.,580
United States,2018..,"[""Action"", ""Crime"", ""Drama""]",8.0,The Rookie,https://www.imdb.com/title/tt7587890/,42811,15,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",57
United States,2021..,"[""Comedy"", ""Drama"", ""Mystery""]",8.1,Resident Alien,https://www.imdb.com/title/tt8690918/,41637,15,A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.,481
United States,2018..2023,"[""Drama""]",8.0,New Amsterdam,https://www.imdb.com/title/tt7817340/,41158,23,A new medical director breaks the rules to heal the system at America's oldest public hospital.,47
Italy,2014..2021,"[""Crime"", ""Drama"", ""Thriller""]",8.7,Gomorrah,https://www.imdb.com/title/tt2049116/,40722,23,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,798
United States,2016..2022,"[""Crime"", ""Drama""]",8.2,Animal Kingdom,https://www.imdb.com/title/tt5574490/,39853,21,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",377
United States,2014..,"[""Action"", ""Crime"", ""Drama""]",8.1,Chicago P.D.,https://www.imdb.com/title/tt2805096/,39692,24,"Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit.",149
